Channel,URL
ESPN,https://blue-midas.fubo.tv/v1/dash/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/master.mpd?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=10179&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=ESPN&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142251~exp%3D1694228651~acl%3D%2F%2A~data%3D1694228651~hmac%3D4c9d3349e893e1b58dd0c18c09907631a1869f2116ead6b70f31c4079b5c55a6&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiRVNQTiIsImRldmljZSI6IkFMTCIsImJhbmR3aWR0aCI6IkRBU0giLCJjb3VudHJ5IjoiVVNBIiwidXNlcklkIjoiNTZkMzIzMjU4Zjg1N2YwMTAwMzRmMDE0IiwicmVxdWVzdFR5cGUiOiJsaXZlIiwicmVnaW9uIjoid2VzdCJ9LCJob21lWmlwIjoiOTczMzYiLCJnZW9aaXAiOiIxMDAyNSJ9.iaIRYrPxssB8I0lGt-EbALkIUwQx8AK9tVoQ907XVW0
ESPN2,https://blue-midas.fubo.tv/v1/dash/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/master.mpd?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=12444&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=ESPN2&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142267~exp%3D1694228667~acl%3D%2F%2A~data%3D1694228667~hmac%3Dcc1685deb540147bc81bba72220866c6b48ffce2d950428f52c26608e12b0f5a&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiRVNQTjIiLCJkZXZpY2UiOiJBTEwiLCJiYW5kd2lkdGgiOiJEQVNIIiwiY291bnRyeSI6IlVTQSIsInVzZXJJZCI6IjU2ZDMyMzI1OGY4NTdmMDEwMDM0ZjAxNCIsInJlcXVlc3RUeXBlIjoibGl2ZSIsInJlZ2lvbiI6Indlc3QifSwiaG9tZVppcCI6Ijk3MzM2IiwiZ2VvWmlwIjoiMTAwMjUifQ.0sIDE1axrYnvtY2u2jI82VS3aCyRc4J7C8PxRL3hW4M
FS1,https://blue-midas.fubo.tv/v1/master/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/v4/master.m3u8?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=94653&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=FS1&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142284~exp%3D1694228684~acl%3D%2F%2A~data%3D1694228684~hmac%3D487a941410cdfe2a1704aecd72b8ffccc0bc7f7426e43278b293a77234ceb40b&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiRlMxIiwiZGV2aWNlIjoiQUxMIiwiYmFuZHdpZHRoIjoiTUFTVEVSIiwiY291bnRyeSI6IlVTQSIsInVzZXJJZCI6IjU2ZDMyMzI1OGY4NTdmMDEwMDM0ZjAxNCIsInJlcXVlc3RUeXBlIjoibGl2ZSIsInJlZ2lvbiI6Indlc3QifSwiaG9tZVppcCI6Ijk3MzM2IiwiZ2VvWmlwIjoiMTAwMjUifQ.paFamYRfFklN3z5fIlVwaxoT0TT9OOc2U8sxMs8OOHU
FS2,https://blue-midas.fubo.tv/v1/master/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/v4/master.m3u8?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=69553&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=FS2&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142302~exp%3D1694228702~acl%3D%2F%2A~data%3D1694228702~hmac%3D42dc6761f54b68f4df7285b3f85ef0615aa5c5c6171d10697378be0bfbace318&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiRlMyIiwiZGV2aWNlIjoiQUxMIiwiYmFuZHdpZHRoIjoiTUFTVEVSIiwiY291bnRyeSI6IlVTQSIsInVzZXJJZCI6IjU2ZDMyMzI1OGY4NTdmMDEwMDM0ZjAxNCIsInJlcXVlc3RUeXBlIjoibGl2ZSIsInJlZ2lvbiI6Indlc3QifSwiaG9tZVppcCI6Ijk3MzM2IiwiZ2VvWmlwIjoiMTAwMjUifQ.rRts6pS9r8eLsQJp0lqdfFSXHAImQyr5fie43nUUAxA
MSNBC,https://blue-midas.fubo.tv/v1/master/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/v4/master.m3u8?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=75083&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=MSNBC&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142319~exp%3D1694228719~acl%3D%2F%2A~data%3D1694228719~hmac%3Dd35711162fbf3712a71d8b9d507cdce74e77101817f634fb3996cf8c8070ee57&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiTVNOQkMiLCJkZXZpY2UiOiJBTEwiLCJiYW5kd2lkdGgiOiJNQVNURVIiLCJjb3VudHJ5IjoiVVNBIiwidXNlcklkIjoiNTZkMzIzMjU4Zjg1N2YwMTAwMzRmMDE0IiwicmVxdWVzdFR5cGUiOiJsaXZlIiwicmVnaW9uIjoid2VzdCJ9LCJob21lWmlwIjoiOTczMzYiLCJnZW9aaXAiOiIxMDAyNSJ9.b2CPAMfhah0R-Ml1o6RSJvK0vEVOOs4DPRI0FXeRonA
BEIN1HD,https://blue-midas.fubo.tv/v1/master/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/v4/master.m3u8?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=88749&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=BEIN1HD&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142336~exp%3D1694228736~acl%3D%2F%2A~data%3D1694228736~hmac%3D9f71b80ce0785a34ef124fe488d8bbc7b020751436f2dd20d9feac40d71d921f&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiQkVJTjFIRCIsImRldmljZSI6IkFMTCIsImJhbmR3aWR0aCI6Ik1BU1RFUiIsImNvdW50cnkiOiJVU0EiLCJ1c2VySWQiOiI1NmQzMjMyNThmODU3ZjAxMDAzNGYwMTQiLCJyZXF1ZXN0VHlwZSI6ImxpdmUiLCJyZWdpb24iOiJ3ZXN0In0sImhvbWVaaXAiOiI5NzMzNiIsImdlb1ppcCI6IjEwMDI1In0.4p41B9FTaJTQVc6Ti3QiFKbrMG3A31y2FibMtbDtjOM
BEIN2HD,https://blue-midas.fubo.tv/v1/master/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/v4/master.m3u8?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=88754&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=BEIN2HD&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142354~exp%3D1694228754~acl%3D%2F%2A~data%3D1694228754~hmac%3D98f58a85247310b3a1981e2b8d0c2b6c8075c47365a5c528de11217a9873aa81&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiQkVJTjJIRCIsImRldmljZSI6IkFMTCIsImJhbmR3aWR0aCI6Ik1BU1RFUiIsImNvdW50cnkiOiJVU0EiLCJ1c2VySWQiOiI1NmQzMjMyNThmODU3ZjAxMDAzNGYwMTQiLCJyZXF1ZXN0VHlwZSI6ImxpdmUiLCJyZWdpb24iOiJ3ZXN0In0sImhvbWVaaXAiOiI5NzMzNiIsImdlb1ppcCI6IjEwMDI1In0.J8dz9LbqiEqSmBz9jSsBKLiYMwnMIVEclhWhHnSWLAk
ESPNEWS,https://blue-midas.fubo.tv/v1/dash/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/master.mpd?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=16485&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=ESPNEWS&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142371~exp%3D1694228771~acl%3D%2F%2A~data%3D1694228771~hmac%3Db06dbd1101b67aa72c1bda6a0fda65cef2b5fee90aa65071d7bfeee721c69843&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiRVNQTkVXUyIsImRldmljZSI6IkFMTCIsImJhbmR3aWR0aCI6IkRBU0giLCJjb3VudHJ5IjoiVVNBIiwidXNlcklkIjoiNTZkMzIzMjU4Zjg1N2YwMTAwMzRmMDE0IiwicmVxdWVzdFR5cGUiOiJsaXZlIiwicmVnaW9uIjoid2VzdCJ9LCJob21lWmlwIjoiOTczMzYiLCJnZW9aaXAiOiIxMDAyNSJ9.S38uBuJ2BGR7g4ime00WZfif4wlKq_7ynIk2uyP-ya4
MLBX15,https://blue-midas.fubo.tv/v1/master/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/v4/master.m3u8?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=18220&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=MLBX15&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142388~exp%3D1694228788~acl%3D%2F%2A~data%3D1694228788~hmac%3D7c7cf0f10914ad203220191db63a1da283250c5c972493453bb8b5baf5d0992b&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiTUxCWDE1IiwiZGV2aWNlIjoiQUxMIiwiYmFuZHdpZHRoIjoiTUFTVEVSIiwiY291bnRyeSI6IlVTQSIsInVzZXJJZCI6IjU2ZDMyMzI1OGY4NTdmMDEwMDM0ZjAxNCIsInJlcXVlc3RUeXBlIjoibGl2ZSIsInJlZ2lvbiI6Indlc3QifSwiaG9tZVppcCI6Ijk3MzM2IiwiZ2VvWmlwIjoiMTAwMjUifQ.FmDJA5r5VWC5Vy6W43UuftCrMflc6gdgCgcXoyk9Hiw
UDNHD,https://blue-midas.fubo.tv/v1/master/cf8aed8001539cb4cab4963801d5f2cda8d77a1e/production-blue-live/v4/master.m3u8?ads._fw_h_user_agent=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F116.0.0.0+Safari%2F537.36&ads._fw_ip=149.102.252.117&ads._fw_is_lat=&ads._fw_station=88839&ads._fw_vcid2=fuboTV%3A56d323258f857f010034f014&ads.device=desktop&ads.fw_device_id=_fw_did%3D1&ads.fw_nw_id=393638&ads.fw_playback_type=live&ads.fw_site=fubo_desktop_live&ads.fw_site_section=fubo_web_desktop_live&alternate-feed=0&callsign=UDNHD&cookie_supported_platform=0&device=ALL&hdnts=ip%3D149.102.252.117~st%3D1694142405~exp%3D1694228805~acl%3D%2F%2A~data%3D1694228805~hmac%3Da7f53785dc666d1a2a4e6075152a31e947bc8d91b43fec39d54e5ab56ef5ae36&is_azure=0&is_kvtdb=0&userHash=30&watchToken=eyJhbGciOiJIUzI1NiIsInRva2VuVHlwZSI6IlVzYUJhc2VXYXRjaFRva2VuIiwidHlwIjoiSldUIn0.eyJ3YXRjaFRva2VuIjp7ImNhbGxTaWduIjoiVUROSEQiLCJkZXZpY2UiOiJBTEwiLCJiYW5kd2lkdGgiOiJNQVNURVIiLCJjb3VudHJ5IjoiVVNBIiwidXNlcklkIjoiNTZkMzIzMjU4Zjg1N2YwMTAwMzRmMDE0IiwicmVxdWVzdFR5cGUiOiJsaXZlIiwicmVnaW9uIjoid2VzdCJ9LCJob21lWmlwIjoiOTczMzYiLCJnZW9aaXAiOiIxMDAyNSJ9.9buEWglLo_Mw-OhmeOYfj89u7j52gyNItQTqiwOxzOM
